Nama Wilayah,2017,2018,2019,2020,2021
Ogan Komering Ulu Selatan,1.65,1.20,1.34,1.17,1.28
Ogan Komering Ulu Timur,1.90,1.60,1.51,1.02,1.30
Ogan Ilir,1.90,2.20,1.82,2.15,2.55
Empat Lawang,1.40,1.73,1.87,1.89,1.84
Penukal Abab Lematang Ilir,2.19,2.24,1.86,1.40,1.84
Musi Rawas Utara,3.28,4.64,3.27,3.24,3.02
Kota Palembang,1.76,1.70,1.86,1.67,1.86
Kota Prabumulih,1.29,1.69,1.37,1.27,1.20
Kota Pagar Alam,1.09,1.03,0.90,0.99,1.03
Kota Lubuklinggau,2.14,2.05,2.21,2.20,1.97
BENGKULU,2.85,2.59,2.48,2.40,2.57
Bengkulu Selatan,3.32,2.61,3.32,3.29,3.28
Rejang Lebong,2.90,2.01,1.47,1.79,2.04
Bengkulu Utara,1.97,1.83,1.61,1.58,2.67
Kaur,4.12,2.99,4.14,2.77,4.09
Seluma,3.98,3.22,2.71,2.87,2.70
Mukomuko,1.99,1.70,2.19,1.52,1.88
Lebong,1.46,1.63,1.27,1.45,1.42
Kepahiang,1.89,2.33,2.54,1.90,1.62
Bengkulu Tengah,1.42,1.41,1.29,1.25,1.19
Kota Bengkulu,4.69,4.53,3.89,3.51,3.31
LAMPUNG,2.16,2.04,1.93,1.90,1.88
Lampung Barat,2.15,1.84,1.86,2.01,2.69
Tanggamus,1.81,2.36,1.24,1.36,1.26
Lampung Selatan,2.36,2.47,2.32,2.52,2.37
Lampung Timur,2.96,2.91,2.50,2.50,2.45
Lampung Tengah,1.99,1.62,2.09,1.63,1.76
Lampung Utara,4.19,2.96,3.72,2.88,3.30
Way Kanan,2.05,2.05,2.04,1.90,2.12
Tulangbawang,1.53,1.28,1.43,1.24,1.15
Pesawaran,3.31,2.87,2.69,2.18,2.30
Pringsewu,1.71,1.44,1.13,1.20,1.38
Mesuji,1.13,0.82,0.93,0.88,0.83
Tulang Bawang Barat,1.08,1.08,0.77,0.92,0.68
Pesisir Barat,2.08,2.61,1.60,1.80,2.39
Kota Bandar Lampung,1.48,1.38,1.49,1.61,1.52
Kota Metro,1.92,1.61,1.14,0.94,1.27
KEP. BANGKA BELITUNG,0.49,0.68,0.51,0.60,0.61
Bangka,0.42,0.66,0.65,0.47,0.39
Belitung,1.14,0.59,0.69,0.74,0.51
Bangka Barat,0.16,0.34,0.31,0.23,0.25
Bangka Tengah,0.57,0.42,0.52,0.72,0.63
Bangka Selatan,0.19,0.49,0.48,0.53,0.35
Belitung Timur,0.79,1.01,0.81,0.70,1.15
Kota Pangkal Pinang,0.57,0.49,0.59,0.60,0.57
KEPULAUAN RIAU,0.97,1.00,0.69,1.11,1.07
Karimun,0.86,0.70,0.60,0.59,1.14
Bintan,0.87,1.24,0.63,0.81,0.65
Natuna,0.43,0.58,0.49,0.40,0.44
Lingga,1.58,2.25,1.97,2.32,2.98
Kepulauan Anambas,1.22,1.25,1.14,0.96,0.87
Kota Batam,0.79,0.81,0.53,0.70,0.89
Kota Tanjung Pinang,1.76,1.49,1.15,1.58,1.75
DKI JAKARTA,0.49,0.51,0.50,0.59,0.64
Kepulauan Seribu,2.09,1.70,1.95,2.10,2.61
Kota Jakarta Selatan,0.38,0.29,0.39,0.47,0.62
Kota Jakarta Timur,0.46,0.36,0.33,0.35,0.56
Kota Jakarta Pusat,0.33,0.77,0.33,0.60,0.53
Kota Jakarta Barat,0.40,0.55,0.46,0.61,0.56
Kota Jakarta Utara,0.83,0.83,0.63,0.99,0.72
JAWA BARAT,1.45,1.32,1.09,1.13,1.47
Bogor,1.35,1.12,0.83,0.83,1.36
Sukabumi,1.00,0.86,0.66,0.80,1.04
Cianjur,1.50,1.34,0.74,1.38,1.83
Bandung,1.12,0.87,1.04,0.92,1.23
Garut,1.72,1.49,0.87,0.97,1.40
Tasikmalaya,1.36,1.19,0.84,0.83,1.57
Ciamis,1.22,1.18,0.76,0.92,0.88
Kuningan,2.00,1.73,1.24,2.41,2.02
Cirebon,2.13,2.04,1.29,1.30,1.94
Majalengka,1.93,1.96,1.39,1.41,2.44
Sumedang,1.97,1.72,1.05,1.72,1.72
Indramayu,2.34,2.23,1.66,2.18,2.46
Subang,2.20,1.70,1.39,1.29,1.93
Purwakarta,1.05,0.87,1.24,1.04,1.31
Karawang,1.54,1.21,1.06,1.28,1.27
Bekasi,0.81,0.65,0.60,0.72,0.91
Bandung Barat,2.32,1.45,1.54,1.40,1.62
Pangandaran,1.48,1.24,0.90,1.32,1.25
Kota Bogor,0.99,0.77,0.72,1.08,1.10
Kota Sukabumi,1.75,1.09,1.08,1.17,1.39
Kota Bandung,0.68,0.48,0.53,0.61,0.78
Kota Cirebon,1.56,0.99,1.23,1.68,2.22
Kota Bekasi,0.82,0.72,0.47,0.60,0.66
Kota Depok,0.25,0.31,0.24,0.29,0.34
Kota Cimahi,1.10,0.84,0.60,0.75,0.93
Kota Tasikmalaya,2.01,1.52,1.98,1.75,2.42
