Nama Wilayah,2017,2018,2019,2020,2021
Halmahera Tengah,2.01,1.81,1.42,1.73,1.99
Kepulauan Sula,0.67,1.25,0.93,0.88,1.22
Halmahera Selatan,0.45,0.65,0.43,0.45,0.61
Halmahera Utara,0.63,0.45,0.38,0.38,0.48
Halmahera Timur,4.07,2.95,1.93,1.90,2.62
Pulau Morotai,0.83,0.94,1.50,1.05,0.72
Pulau Taliabu,0.90,0.85,0.82,0.89,0.57
Kota Ternate,0.37,0.26,0.62,0.38,0.53
Kota Tidore Kepulauan,0.40,0.82,0.40,0.60,0.82
PAPUA BARAT,6.74,6.29,5.60,5.79,5.49
Fakfak,3.82,6.32,4.87,5.87,6.11
Kaimana,2.35,3.40,4.02,2.36,2.83
Teluk Wondama,10.01,6.88,8.76,10.04,6.48
Teluk Bintuni,14.11,10.04,10.68,8.31,9.15
Manokwari,5.64,4.17,6.41,5.87,4.96
Sorong Selatan,4.93,2.25,3.63,3.12,4.89
Sorong,12.56,9.23,8.24,5.97,7.76
Raja Ampat,3.58,2.70,2.61,3.06,2.82
Tambrauw,5.83,7.97,5.28,8.99,6.79
Maybrat,7.87,11.15,9.67,8.01,9.09
Manokwari Selatan,9.86,8.52,7.77,8.61,8.92
Pegunungan Arfak,8.16,5.88,7.70,5.53,5.28
Kota Sorong,3.14,2.91,3.13,2.81,3.64
PAPUA,7.50,6.73,7.17,6.16,5.60
Merauke,2.11,2.06,2.40,1.53,1.46
Jayawijaya,14.58,12.72,15.11,12.54,12.89
Jayapura,2.35,2.11,2.67,2.04,2.42
Nabire,10.99,7.87,9.93,9.26,8.41
Kepulauan Yapen,6.11,5.18,6.40,6.63,4.85
Biak Numfor,6.63,6.16,5.15,6.33,6.01
Paniai,10.04,13.20,6.52,6.23,4.60
Puncak Jaya,6.93,13.16,9.49,13.41,12.40
Mimika,4.54,3.81,5.51,3.59,2.53
Boven Digoel,3.32,4.38,4.52,3.54,3.67
Mappi,3.86,5.07,4.66,4.99,4.46
Asmat,3.94,4.01,4.90,3.54,4.08
Yahukimo,9.42,8.05,9.30,7.41,7.38
Pegunungan Bintang,7.85,5.91,9.02,4.91,3.69
Tolikara,4.69,6.15,5.95,6.70,3.34
Sarmi,2.74,1.72,3.01,1.56,2.33
Keerom,3.97,3.08,2.99,2.79,3.16
Waropen,12.27,9.96,6.25,9.90,4.72
Supiori,8.59,6.60,7.35,10.52,8.45
Mamberamo Raya,2.17,4.38,6.87,4.12,3.53
Nduga *,7.66,9.81,7.07,7.57,11.89
Lanny Jaya,12.12,14.59,16.35,13.87,14.87
Mamberamo Tengah,6.73,8.45,14.50,9.11,6.51
Yalimo,11.47,6.98,12.23,11.47,13.86
Puncak,8.87,10.58,9.70,8.61,9.92
Dogiyai,4.84,5.75,6.30,5.55,3.68
Intan Jaya,13.18,11.72,8.73,8.00,5.92
Deiyai,11.63,6.92,7.79,11.44,3.79
Kota Jayapura,3.20,2.55,2.27,1.98,2.53
